id,limit_bal,sex,education,marriage,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,default_payment_next_month,adverse_target,profile_group_id
15,250000,male,graduate_school,single,29,0,0,0,0,0,0,70887,67060,63561,59696,56875,55512,3000,3000,3000,3000,3000,3000,0,0,18129251264923960727
16,50000,female,high_school,other_or_unknown,23,1,2,0,0,0,0,50614,29173,28116,28771,29531,30211,0,1500,1100,1200,1300,1100,0,0,11803753318968600442
17,20000,male,graduate_school,single,24,0,0,2,2,2,2,15376,18010,17428,18338,17905,19104,3200,0,1500,0,1650,0,1,1,5149364093544823884
18,320000,male,graduate_school,married,49,0,0,0,-1,-1,-1,253286,246536,194663,70074,5856,195599,10358,10000,75940,20000,195599,50000,0,0,10343783686902203456
19,360000,female,graduate_school,married,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17955088825315505133
20,180000,female,graduate_school,single,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15511351676268195892
21,130000,female,high_school,single,39,0,0,0,0,0,-1,38358,27688,24489,20616,11802,930,3000,1537,1000,2000,930,33764,0,0,16824387810276071297
22,120000,female,university,married,39,-1,-1,-1,-1,-1,-1,316,316,316,0,632,316,316,316,0,632,316,0,1,1,4765807280826850182
23,70000,female,university,single,26,2,0,0,2,2,2,41087,42445,45020,44006,46905,46012,2007,3582,0,3601,0,1820,1,1,3902848793358591068
24,450000,female,graduate_school,married,40,-2,-2,-2,-2,-2,-2,5512,19420,1473,560,0,0,19428,1473,560,0,0,1128,1,1,2532605876050426486
25,90000,male,graduate_school,single,23,0,0,0,-1,0,0,4744,7070,0,5398,6360,8292,5757,0,5398,1200,2045,2000,0,0,14897237228732182370
26,50000,male,high_school,single,23,0,0,0,0,0,0,47620,41810,36023,28967,29829,30046,1973,1426,1001,1432,1062,997,0,0,11865863621698079967
27,60000,male,graduate_school,single,27,1,-2,-1,-1,-1,-1,-109,-425,259,-57,127,-189,0,1000,0,500,0,1000,1,1,5932341098689628356
28,50000,female,high_school,single,30,0,0,0,0,0,0,22541,16138,17163,17878,18931,19617,1300,1300,1000,1500,1000,1012,0,0,12106976407424808911
29,50000,female,high_school,married,47,-1,-1,-1,-1,-1,-1,650,3415,3416,2040,30430,257,3415,3421,2044,30430,257,0,0,0,10779236571306435235
30,50000,male,graduate_school,single,26,0,0,0,0,0,0,15329,16575,17496,17907,18375,11400,1500,1500,1000,1000,1600,0,0,0,15026457625944888897
31,230000,female,graduate_school,single,27,-1,-1,-1,-1,-1,-1,16646,17265,13266,15339,14307,36923,17270,13281,15339,14307,37292,0,0,0,16562620572426084300
32,50000,male,university,single,33,2,0,0,0,0,0,30518,29618,22102,22734,23217,23680,1718,1500,1000,1000,1000,716,1,1,7528701151482204623
33,100000,male,graduate_school,single,32,0,0,0,0,0,0,93036,84071,82880,80958,78703,75589,3023,3511,3302,3204,3200,2504,0,0,2023940074308789378
34,500000,female,university,married,54,-2,-2,-2,-2,-2,-2,10929,4152,22722,7521,71439,8981,4152,22827,7521,71439,981,51582,0,0,1128450639232110195
35,500000,male,graduate_school,married,58,-2,-2,-2,-2,-2,-2,13709,5006,31130,3180,0,5293,5006,31178,3180,0,5293,768,0,0,15732700516872830343
36,160000,male,graduate_school,single,30,-1,-1,-2,-2,-2,-1,30265,-131,-527,-923,-1488,-1884,131,396,396,565,792,0,0,0,10085390459995917104
37,280000,male,university,married,40,0,0,0,0,0,0,186503,181328,180422,170410,173901,177413,8026,8060,6300,6400,6400,6737,0,0,9530530410079349992
38,60000,female,university,single,22,0,0,0,0,0,-1,15054,9806,11068,6026,-28335,18660,1500,1518,2043,0,47671,617,0,0,9765468423738463883
39,50000,male,graduate_school,single,25,1,-1,-1,-2,-2,-2,0,780,0,0,0,0,780,0,0,0,0,0,1,1,4222640390313370254
40,280000,male,graduate_school,single,31,-1,-1,2,-1,0,-1,498,9075,4641,9976,17976,9477,9075,0,9976,8000,9525,781,0,0,1967084623733790204
41,360000,male,graduate_school,single,33,0,0,0,0,0,0,218668,221296,206895,628699,195969,179224,10000,7000,6000,188840,28000,4000,0,0,9334266335470052049
42,70000,female,graduate_school,single,25,0,0,0,0,0,0,67521,66999,63949,63699,64718,65970,3000,4500,4042,2500,2800,2500,0,0,5878747793971150258
43,10000,male,university,single,22,0,0,0,0,0,0,1877,3184,6003,3576,3670,4451,1500,2927,1000,300,1000,500,0,0,13802204050078166470
44,140000,female,university,married,37,0,0,0,0,0,0,59504,61544,62925,64280,67079,69802,3000,3000,3000,4000,4000,3000,0,0,7974422706221090441
45,40000,female,graduate_school,single,30,0,0,0,2,0,0,18927,21295,25921,25209,26636,29197,3000,5000,0,2000,3000,0,0,0,10791832705617643430
46,210000,male,graduate_school,single,29,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11730931706394948264
47,20000,female,graduate_school,single,22,0,0,2,-1,0,0,14028,16484,15800,16341,16675,0,3000,0,16741,334,0,0,1,1,10903707094644763068
48,150000,female,other_or_unknown,single,46,0,0,-1,0,0,-2,4463,3034,1170,1170,0,0,1013,1170,0,0,0,0,1,1,15853498636917903436
49,380000,male,university,single,32,-1,-1,-1,-1,-1,-1,22401,21540,15134,32018,11849,11873,21540,15138,24677,11851,11875,8251,0,0,6972594825213084315
50,20000,male,graduate_school,single,24,0,0,0,0,0,0,17447,18479,19476,19865,20480,20063,1318,1315,704,928,912,1069,0,0,17993161395257306845
51,70000,male,high_school,single,42,1,2,2,2,2,0,37042,36171,38355,39423,38659,39362,0,3100,2000,0,1500,1500,1,1,12502652427015202900
52,100000,female,high_school,other_or_unknown,43,0,0,0,0,0,0,61559,51163,43824,39619,35762,33258,2000,1606,1500,2000,1500,1000,0,0,4186185984202519112
53,310000,female,university,married,49,-2,-2,-2,-2,-2,-2,13465,7867,7600,11185,3544,464,7875,7600,11185,3544,464,0,0,0,15157446177600993647
54,180000,female,graduate_school,single,25,1,2,0,0,0,0,41402,41742,42758,43510,44420,45319,1300,2010,1762,1762,1790,1622,0,0,18149707658922492544
55,150000,female,graduate_school,single,29,2,0,0,0,0,0,46224,34993,31434,26518,21042,16540,1600,1718,1049,1500,2000,5000,0,0,17092990946457802823
56,500000,female,graduate_school,married,45,-2,-2,-2,-2,-2,-2,1905,3640,162,0,151,2530,3640,162,0,151,2530,0,0,0,2354925448663719013
57,180000,female,high_school,married,34,0,0,0,-1,-1,-1,16386,15793,8441,7142,-679,8321,8500,1500,7500,679,9000,2000,0,0,12242455817482486629
58,180000,female,university,married,34,0,0,0,0,0,0,175886,173440,172308,168608,132202,129918,8083,7296,5253,4814,4816,3800,0,0,5980123062079820874
59,200000,female,graduate_school,single,34,-1,3,2,2,2,2,1587,1098,782,1166,700,1414,0,0,700,0,1200,0,0,0,7627193603634722818
60,400000,female,university,married,29,0,0,0,0,0,0,400134,398857,404205,360199,356656,364089,17000,15029,30000,12000,12000,23000,0,0,16460763221528061061
61,500000,female,high_school,married,28,0,0,0,0,0,0,22848,23638,18878,14937,13827,15571,1516,1300,1000,1000,2000,2000,1,1,16438167753272211984
62,70000,male,university,married,39,0,0,0,0,0,-1,70800,72060,69938,16518,14096,830,4025,2095,1000,2000,3000,0,0,0,2884439444779782325
63,50000,male,graduate_school,single,29,2,2,2,2,2,2,24987,24300,26591,25865,27667,28264,0,2700,0,2225,1200,0,1,1,11610343992773740626
64,50000,female,university,married,46,0,0,0,-2,-2,-2,28718,29166,0,0,0,0,1000,0,0,0,0,0,1,1,3529287501954047091
65,130000,female,university,married,51,-1,-1,-2,-2,-1,-1,99,0,0,0,2353,0,0,0,0,2353,0,0,0,0,2656105806627422787
66,200000,male,graduate_school,married,57,-2,-2,-2,-1,2,2,152519,148751,144076,8174,8198,7918,0,0,8222,300,0,1000,1,1,2659193349070119763
67,10000,male,university,married,56,2,2,2,0,0,0,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,1,1,819595450763968241
68,210000,female,graduate_school,single,30,2,-1,-1,-1,-1,-1,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,0,0,5709771977148783836
69,130000,female,high_school,single,29,1,-2,-2,-1,2,-1,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,0,0,5777124775107312720
70,20000,male,other_or_unknown,single,22,2,0,0,0,0,0,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,0,0,7275374888730868830
71,80000,male,graduate_school,single,31,-1,-1,-1,-1,-1,-1,780,0,390,390,390,390,0,390,390,390,390,390,0,0,10530461945761057141
72,320000,male,university,single,29,2,2,2,2,2,2,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,1,1,14368744481224913763
73,200000,female,university,married,32,-1,-1,-1,-1,2,-1,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,0,0,6681218574554131222
74,290000,female,graduate_school,single,37,1,-2,-1,-1,-1,-1,0,0,3155,0,2359,0,0,3155,0,2359,0,0,0,0,18382361403316549693
75,340000,male,graduate_school,single,32,-1,-1,-1,-1,-1,-1,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,0,0,12039167121827739580
76,20000,male,university,single,24,0,0,2,0,0,0,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,0,0,10276956929401851489
77,50000,male,high_school,single,25,-1,0,0,0,0,0,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,0,0,3591178728294735081
78,300000,female,graduate_school,married,45,-1,-1,-1,-1,-1,-1,291,291,291,291,291,291,291,291,291,291,291,291,0,0,14024598058979558090
79,30000,female,university,single,22,0,0,0,0,0,0,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,1,1,8458852989761763657
80,240000,female,university,single,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9476883946985389845
81,470000,female,high_school,other_or_unknown,33,0,0,0,0,0,0,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,0,0,3953423400800220544
82,360000,female,graduate_school,single,26,0,0,0,0,0,-1,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,0,0,7727400724029726068
83,60000,male,high_school,single,30,0,0,0,0,0,0,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,1,1,16195713335570951260
84,400000,female,university,married,44,0,0,2,0,0,0,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,0,0,7454605910908448166
85,50000,female,high_school,single,49,0,0,0,0,0,0,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,0,0,3872742428137825720
86,160000,male,university,single,33,0,0,0,0,0,0,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,0,0,2057506504917381334
87,360000,female,graduate_school,married,45,-1,-1,2,0,-1,-1,390,1170,780,390,390,390,1170,0,0,390,390,390,1,1,17391949863807607590
88,160000,female,university,single,32,0,0,0,0,0,-1,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,0,0,2826577396359820099
89,130000,female,graduate_school,married,35,0,0,0,-1,-1,-1,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,0,0,1032925288976347785
90,20000,male,high_school,single,44,2,2,0,0,0,2,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,0,0,9690282797937797862
91,200000,male,graduate_school,married,53,2,2,2,2,2,2,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,1,1,13131114655443623084
92,280000,female,graduate_school,single,39,-1,-1,-1,0,0,-2,7524,0,3968,3868,0,0,0,3968,0,0,0,0,0,0,6232658997813438244
93,100000,female,graduate_school,single,27,-2,-2,-2,-2,-2,-2,-2000,5555,0,0,0,0,7555,0,0,0,0,0,0,0,6433684422980789062
94,160000,female,university,married,37,-1,-1,-1,-1,-1,-2,880,1602,840,840,0,0,1602,840,840,0,0,7736,0,0,14980967195597585744
95,60000,female,university,single,23,0,0,0,0,0,0,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,0,0,17402739059959333905
96,90000,male,university,single,35,0,0,0,0,0,0,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,0,0,12135485597727656049
97,360000,male,graduate_school,married,43,-1,-1,-1,-1,-1,0,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,0,0,4329415249876823280
98,150000,male,graduate_school,single,27,0,0,0,0,0,0,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,0,0,6065847944848861030
99,50000,female,high_school,married,22,0,0,0,0,0,0,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,0,0,3671766073923163405
100,20000,male,university,married,38,0,0,0,0,0,-1,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,1,1,7042530313831257419
101,140000,male,graduate_school,single,32,-2,-2,-2,-2,-2,-2,672,10212,850,415,100,1430,10212,850,415,100,1430,0,0,0,9395954303277821337
102,380000,female,graduate_school,single,30,-2,-2,-1,0,0,0,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,0,0,10529034374487999934
103,480000,male,graduate_school,married,63,0,0,0,2,2,0,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,0,0,12817274151004935776
104,50000,female,high_school,single,22,0,0,0,0,0,0,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,1,1,9113538058698588047
105,60000,female,university,single,26,2,2,2,2,2,0,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,0,0,13137887515727101263
106,70000,female,university,single,24,-1,-1,-2,-2,-2,-1,5580,0,0,0,0,26529,0,0,0,0,26529,2000,0,0,4631874660119423658
107,80000,female,university,married,36,-1,-1,-1,-1,-1,-1,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,0,0,8200780825050681757
108,350000,male,graduate_school,single,52,-1,-1,-1,-1,-1,-1,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,0,0,15658986882045037948
109,130000,male,university,single,38,0,0,0,-1,-1,-1,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,0,0,16380603972390033128
110,360000,male,university,married,35,1,-2,-2,-2,-2,-2,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,0,0,550951691940943420
111,330000,female,graduate_school,married,31,0,0,2,0,0,0,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,0,0,13491615764279782186
112,50000,male,high_school,married,47,0,0,2,0,0,0,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,0,0,15010650304638443453
113,280000,male,university,married,41,2,2,2,2,2,3,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,0,0,11157852087930495119
114,100000,female,graduate_school,single,24,0,0,0,0,0,0,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,0,0,8785746120130067209
115,50000,male,university,single,41,0,0,0,0,0,0,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,0,0,1504289796647768978
116,30000,male,graduate_school,single,24,-1,2,0,0,3,2,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,1,1,2765132725299946436
117,240000,male,graduate_school,single,28,-1,-1,-1,-1,-1,-1,326,326,326,5676,476,326,326,326,5676,476,326,526,0,0,8003925541134726628
118,80000,male,university,single,26,2,0,0,0,0,0,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,1,1,9164667875274523104
119,400000,male,university,married,34,-1,-1,-1,-1,-1,-1,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,0,0,9118185690353462324
120,240000,female,university,single,38,0,0,0,0,-1,-1,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,0,0,16622422697406042605
121,50000,male,high_school,single,37,2,2,2,3,2,2,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,1,1,4325423354709424476
122,450000,male,graduate_school,married,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9863156743302732021
123,110000,female,graduate_school,married,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13973620977146597629
124,310000,female,university,married,35,2,0,0,0,0,0,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,1,1,5313284250943056250
125,20000,male,graduate_school,single,27,0,0,0,0,0,0,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,0,0,12966537845036519811
126,20000,male,university,single,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6023498081534631284
127,200000,male,high_school,single,52,0,0,0,0,0,0,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,0,0,982652542974863528
128,180000,male,graduate_school,married,36,0,0,0,0,0,0,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,1,1,12244339203950523356
129,50000,male,university,married,51,0,0,0,0,0,0,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,1,1,12442542677786196938
130,60000,male,high_school,married,55,3,2,2,0,0,0,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,0,0,16890238542518587607
131,30000,female,graduate_school,single,23,1,-2,-2,-2,-1,-1,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,0,0,4536094280974410297
132,240000,male,graduate_school,single,41,1,-1,-1,0,0,-1,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,0,0,13626705830867760964
133,420000,male,university,married,34,0,0,0,0,0,0,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,0,0,8887566612110224838
134,330000,male,high_school,married,46,0,0,0,0,0,0,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,0,0,6952583714431220055
135,30000,female,university,single,22,0,0,0,0,0,0,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,0,0,2043348399403274350
136,240000,male,university,married,34,0,0,0,2,2,2,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,327,0,0,7923101357787234870
137,150000,male,graduate_school,single,27,0,0,0,0,0,0,17444,19342,22000,24614,27200,30229,2500,3000,3000,3000,3500,5000,0,0,17848453863682632839
138,210000,female,university,married,33,0,0,0,0,0,0,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,0,0,3265263160550673644
139,50000,female,high_school,married,51,-1,-1,-1,-1,-2,-2,752,300,5880,0,0,0,300,5880,0,0,0,0,1,1,4158383325491970214
140,50000,male,graduate_school,single,24,0,0,0,0,0,0,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,0,0,5983332341526140698
141,240000,male,graduate_school,single,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4742936493536868750
142,180000,male,university,single,28,-1,-1,-1,-1,-1,-1,1832,0,832,332,416,416,0,416,332,500,3500,832,0,0,16558368756906383026
143,50000,male,university,single,23,1,2,2,2,0,0,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,600,0,0,6788868679811032949
144,170000,male,university,single,29,-2,-2,-2,-2,-2,-2,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,0,0,17897972073350624748
145,20000,male,graduate_school,single,29,-1,-1,-1,-1,0,-1,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,330,0,0,3198009657110086383
146,50000,male,graduate_school,single,28,0,0,0,0,0,3,4999,5913,7315,9195,10624,10138,1000,1500,2000,1583,1100,0,0,0,17458352538094269831
147,170000,female,university,single,27,0,0,0,0,0,0,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,0,1,1,4775265914807850502
148,200000,male,graduate_school,single,34,1,2,0,0,0,0,197236,176192,93069,135668,132233,59875,8000,5000,55500,5000,5000,8500,0,0,8358948709412415751
149,80000,female,university,married,23,1,2,3,2,0,0,9168,10522,10205,9898,10123,12034,1650,0,0,379,2091,1,0,0,9522466876771251050
150,260000,female,graduate_school,married,60,1,-2,-1,-1,-1,-1,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,0,0,2960911891463291207
151,140000,male,university,married,32,0,0,0,0,2,0,86627,78142,68336,64648,58319,55251,3455,3110,5000,0,2100,2602,0,0,12914220183783217232
152,80000,male,graduate_school,single,25,0,0,0,0,0,0,42444,55744,43476,41087,41951,31826,30000,3000,6000,8000,2000,14000,0,0,10154545770918768778
153,350000,male,graduate_school,single,41,1,-1,-1,-1,-1,-2,208,2906,1000,630,0,0,2906,1000,630,0,0,0,0,0,1158845516129697513
154,280000,female,university,married,56,0,0,0,0,0,0,208775,182350,132257,101783,177145,169311,8042,6700,5137,100000,7000,6321,0,0,11942282457297390085
155,30000,female,high_school,single,26,0,0,0,0,0,0,9014,10406,11427,11935,13084,14206,1700,1500,1000,1500,1500,1500,0,0,13739828941238775738
156,140000,male,graduate_school,married,34,0,0,0,0,0,0,23944,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,5504,0,0,16030667821915185586
157,200000,female,graduate_school,single,37,0,0,0,0,0,0,105420,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,5000,0,0,8820777302492896116
158,200000,female,high_school,single,30,0,0,0,0,0,0,196031,196143,189524,167163,146975,122324,7300,7108,7680,6200,5000,4500,0,0,9589791476024381917
159,210000,male,high_school,married,45,2,3,4,4,5,6,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,1,1,12065132495099031119
160,50000,male,high_school,married,57,3,2,0,0,0,0,12854,12362,13447,13427,13711,14083,0,1600,500,500,600,600,0,0,12772189883113041990
161,30000,male,graduate_school,single,41,2,2,2,2,2,0,24357,27453,26718,28168,27579,28321,3500,0,2200,0,1200,1250,0,0,17065263084866665766
162,50000,male,university,single,27,2,-1,-1,-1,-1,2,390,390,780,216,1080,540,390,780,216,864,0,390,0,0,11033568870268612301
163,290000,male,high_school,married,47,-1,-1,-1,-1,0,-1,1234,396,396,792,396,423,396,396,792,0,423,369,0,0,12176674761240205860
164,250000,female,graduate_school,married,34,0,0,2,0,0,0,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,0,0,9879377075398872847
165,60000,female,university,married,46,0,0,0,0,0,0,21148,23803,24908,26034,26655,27756,3000,1500,1500,1000,1500,1500,0,0,17815653652191320650
166,110000,female,graduate_school,single,27,0,0,0,0,0,0,101640,104795,104855,74737,76058,77254,5500,3900,3000,2900,3000,2800,0,0,1041122999633023938
167,370000,male,graduate_school,single,50,-2,-2,-2,-2,-2,-2,6093,15130,8204,15398,4792,13453,15383,8204,15413,4792,13453,4699,0,0,8752403281746251769
168,100000,male,university,married,27,-1,2,2,0,0,0,102349,96847,58824,29336,22979,-246,3166,0,1330,1398,12,50000,0,0,4792238705194074042
169,90000,female,university,married,35,0,0,0,0,0,2,72112,73854,75526,77317,85852,88290,3500,3500,3652,10000,4000,0,0,0,12717316377718438756
170,50000,female,university,single,22,0,0,0,0,0,0,28040,29092,29366,27737,28318,28806,1510,1442,982,1017,1277,567,0,0,1635166247226710799
171,270000,male,university,single,37,0,0,0,0,0,0,37695,33397,30534,27598,26344,24641,5000,2000,3000,4000,3000,2000,0,0,3627344862675944075
172,300000,female,graduate_school,single,30,-1,-1,-1,-1,-1,-1,688,3280,0,4340,2672,800,3288,0,4340,2672,800,746,0,0,17963469518088639474
173,50000,female,university,single,22,-1,0,0,0,0,0,8567,15273,11650,7457,3115,7725,15000,1000,149,0,5000,10000,0,0,10726059498521298624
174,50000,female,graduate_school,single,24,1,-2,-2,-2,-2,-2,-709,-709,-709,-2898,-3272,-3272,0,0,0,0,0,0,1,1,14095190376527689605
175,360000,male,graduate_school,single,29,1,-2,-1,-1,-2,-2,0,0,77,0,0,0,0,77,0,0,0,0,0,0,10131419881289522337
176,130000,male,high_school,married,56,1,2,2,2,2,3,64617,65978,67282,68557,72796,71345,3000,3000,3000,5500,0,0,1,1,16444463646552442085
177,80000,male,graduate_school,single,30,-2,-1,0,0,0,0,6187,100,600,1438,1919,5380,504,500,1000,500,3500,0,0,0,13609363527383776487
178,50000,male,university,single,30,1,2,0,0,0,2,48860,47801,48363,30221,22877,22361,0,1500,1000,2000,0,2000,0,0,11576151137754102852
179,20000,female,university,single,22,0,0,0,0,0,0,16001,12622,13221,13130,14034,14906,1212,1201,500,1500,1500,1000,0,0,166056347338278141
180,80000,female,university,married,29,0,0,2,0,0,0,77883,81811,80250,61467,10662,11486,5800,1000,600,400,1000,0,0,0,185784368328356922
181,240000,male,graduate_school,single,37,-1,-1,2,0,0,-1,12212,26578,25331,26605,26279,1256,15000,0,2000,0,1256,65935,0,0,11211869434488230044
182,80000,female,high_school,single,35,0,-1,0,0,0,0,49608,12412,14873,17364,17770,17460,12500,6500,3000,2000,3000,2000,0,0,14511783137110150965
183,500000,female,graduate_school,married,47,0,0,0,0,0,0,56422,110616,110340,122967,108834,70064,70010,30357,30000,20000,52183,20000,0,0,9466655932944700898
184,60000,female,university,married,24,0,0,0,0,0,0,58024,57891,48839,18971,19323,19395,2500,1600,3000,1000,737,2000,1,1,8257734013413026318
185,20000,male,university,single,25,0,0,0,0,0,-1,10642,11677,13070,12280,1615,1620,1200,1593,601,135,1824,0,0,0,7499019031645758610
