status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,adverse_target,profile_group_id
no checking account,36,existing credits paid back duly till now,retraining,1819,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,37,stores,for free,1,skilled employee/official,1,yes,yes,0,1,17563295447061595976
no checking account,36,existing credits paid back duly till now,domestic appliances,2394,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee/official,1,no,yes,1,0,1593622341109948595
no checking account,36,existing credits paid back duly till now,car (used),8133,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,bank,own,1,skilled employee/official,1,no,yes,1,0,13181268942462208273
no checking account,7,critical account/other credits existing,domestic appliances,730,unknown/no savings account,... >= 7 years,4,male : single,none,2,building society savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,yes,yes,1,0,7247567072909586930
... < 100 DM,8,critical account/other credits existing,furniture/equipment,1164,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,51,bank,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,0,16402634884355104418
0 <= ... < 200 DM,42,critical account/other credits existing,others,5954,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,no,yes,1,0,4205917009142053474
... < 100 DM,36,existing credits paid back duly till now,retraining,1977,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,40,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,1,17681485261501547314
... < 100 DM,12,critical account/other credits existing,car (used),1526,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,66,none,for free,2,management/self-employed/highly qualified employee/officer,1,no,yes,1,0,2910452758546116227
... < 100 DM,42,existing credits paid back duly till now,domestic appliances,3965,... < 100 DM,... < 1 year,4,male : single,none,3,car or other,34,none,own,1,skilled employee/official,1,no,yes,0,1,9930082998536823810
0 <= ... < 200 DM,11,delay in paying off in the past,domestic appliances,4771,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,building society savings agreement/life insurance,51,none,own,1,skilled employee/official,1,no,yes,1,0,10972485613406136134
no checking account,54,no credits taken/all credits paid back duly,car (used),9436,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,2,building society savings agreement/life insurance,39,none,own,1,unskilled - resident,2,no,yes,1,0,1048386164958189931
0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,3832,... < 100 DM,... < 1 year,2,male : married/widowed,none,1,building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,no,yes,1,0,10960894778498423787
no checking account,24,existing credits paid back duly till now,domestic appliances,5943,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,1,car or other,44,none,own,2,skilled employee/official,1,yes,yes,0,1,12601608785681456160
no checking account,15,existing credits paid back duly till now,domestic appliances,1213,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,3,building society savings agreement/life insurance,47,stores,own,1,skilled employee/official,1,yes,yes,1,0,16686192357450468240
no checking account,18,existing credits paid back duly till now,others,1568,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,unskilled - resident,1,no,yes,1,0,9128739547536660349
... < 100 DM,24,existing credits paid back duly till now,furniture/equipment,1755,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,yes,yes,1,0,3997948824813035575
... < 100 DM,10,existing credits paid back duly till now,domestic appliances,2315,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,52,none,own,1,unskilled - resident,1,no,yes,1,0,11105633879477639254
no checking account,12,critical account/other credits existing,others,1412,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,3948513439854281095
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,1295,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,no,yes,1,0,7660093333947321408
0 <= ... < 200 DM,36,existing credits paid back duly till now,retraining,12612,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,4,unknown/no property,47,none,for free,1,skilled employee/official,2,yes,yes,0,1,16205565094082376017
... < 100 DM,18,existing credits paid back duly till now,car (new),2249,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,30,none,own,1,management/self-employed/highly qualified employee/officer,2,yes,yes,1,0,13813238146155243675
... < 100 DM,12,no credits taken/all credits paid back duly,education,1108,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,real estate,28,none,own,2,skilled employee/official,1,no,yes,0,1,17946856692258776028
no checking account,12,critical account/other credits existing,domestic appliances,618,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,56,none,own,1,skilled employee/official,1,no,yes,1,0,10266076369602152908
... < 100 DM,12,critical account/other credits existing,car (used),1409,... < 100 DM,... >= 7 years,4,male : single,none,3,real estate,54,none,own,1,skilled employee/official,1,no,yes,1,0,439877786244265408
no checking account,12,critical account/other credits existing,domestic appliances,797,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,33,bank,own,1,unskilled - resident,2,no,yes,0,1,5361997285277213685
... >= 200 DM / salary for at least 1 year,24,critical account/other credits existing,radio/television,3617,unknown/no savings account,... >= 7 years,4,male : single,co-applicant,4,unknown/no property,20,none,rent,2,skilled employee/official,1,no,yes,1,0,13280998039841252387
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),1318,... >= 1000 DM,... >= 7 years,4,male : single,none,4,real estate,54,none,own,1,skilled employee/official,1,yes,yes,1,0,16455775721774984129
0 <= ... < 200 DM,54,no credits taken/all credits paid back duly,others,15945,... < 100 DM,... < 1 year,3,male : single,none,4,unknown/no property,58,none,rent,1,skilled employee/official,1,yes,yes,0,1,1514866293376084044
no checking account,12,critical account/other credits existing,retraining,2012,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,2,car or other,61,none,own,1,skilled employee/official,1,no,yes,1,0,6905861949559831163
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,2622,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,34,none,own,1,skilled employee/official,1,no,yes,1,0,6790368075526310535
0 <= ... < 200 DM,36,critical account/other credits existing,domestic appliances,2337,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee/official,1,no,yes,1,0,204828017988474010
0 <= ... < 200 DM,20,delay in paying off in the past,car (used),7057,unknown/no savings account,4 <= ... < 7 years,3,male : single,none,4,building society savings agreement/life insurance,36,bank,rent,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,0,12925957809255332754
no checking account,24,existing credits paid back duly till now,car (new),1469,100 <= ... < 500 DM,... >= 7 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,unskilled - resident,1,no,yes,1,0,16380014073587492902
0 <= ... < 200 DM,36,existing credits paid back duly till now,domestic appliances,2323,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,car or other,24,none,rent,1,skilled employee/official,1,no,yes,1,0,16785518045327128995
no checking account,6,delay in paying off in the past,domestic appliances,932,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,24,none,own,1,skilled employee/official,1,no,yes,1,0,12208787766614979282
0 <= ... < 200 DM,9,critical account/other credits existing,radio/television,1919,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,35,none,rent,1,skilled employee/official,1,yes,yes,1,0,15191395409948644976
no checking account,12,existing credits paid back duly till now,car (used),2445,unknown/no savings account,... < 1 year,2,male : married/widowed,none,4,car or other,26,none,rent,1,skilled employee/official,1,yes,yes,1,0,6420538445529808675
0 <= ... < 200 DM,24,critical account/other credits existing,furniture/equipment,11938,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,car or other,39,none,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,0,1,5131814258281411305
no checking account,18,all credits at this bank paid back duly,car (new),6458,... < 100 DM,... >= 7 years,2,male : single,none,4,unknown/no property,39,bank,own,2,management/self-employed/highly qualified employee/officer,2,yes,yes,0,1,2024487828150515943
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),6078,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,car or other,32,none,own,1,skilled employee/official,1,no,yes,1,0,9221589068888766373
... < 100 DM,24,existing credits paid back duly till now,radio/television,7721,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,2,building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,yes,no,1,0,12384296633418769811
0 <= ... < 200 DM,14,existing credits paid back duly till now,others,1410,500 <= ... < 1000 DM,... >= 7 years,1,male : married/widowed,none,2,real estate,35,none,own,1,skilled employee/official,1,yes,yes,1,0,6167249522759061195
0 <= ... < 200 DM,6,delay in paying off in the past,others,1449,100 <= ... < 500 DM,... >= 7 years,1,male : divorced/separated,none,2,car or other,31,bank,own,2,skilled employee/official,2,no,yes,1,0,4924729046267533344
... >= 200 DM / salary for at least 1 year,15,existing credits paid back duly till now,retraining,392,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,23,none,rent,1,skilled employee/official,1,yes,yes,1,0,10716318112385673515
0 <= ... < 200 DM,18,existing credits paid back duly till now,car (new),6260,... < 100 DM,4 <= ... < 7 years,3,male : single,none,3,real estate,28,none,rent,1,unskilled - resident,1,no,yes,1,0,5053614038082890775
no checking account,36,critical account/other credits existing,car (new),7855,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,25,stores,own,2,skilled employee/official,1,yes,yes,0,1,2502375541923211410
... < 100 DM,12,existing credits paid back duly till now,domestic appliances,1680,500 <= ... < 1000 DM,... >= 7 years,3,male : married/widowed,none,1,real estate,35,none,own,1,skilled employee/official,1,no,yes,1,0,1839101246879836570
no checking account,48,critical account/other credits existing,domestic appliances,3578,unknown/no savings account,... >= 7 years,4,male : single,none,1,real estate,47,none,own,1,skilled employee/official,1,yes,yes,1,0,5658876022864280777
... < 100 DM,42,existing credits paid back duly till now,domestic appliances,7174,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,30,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,1,3759359266907031679
... < 100 DM,10,critical account/other credits existing,radio/television,2132,unknown/no savings account,... < 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee/official,1,no,no,1,0,17134886677898993482
... < 100 DM,33,critical account/other credits existing,radio/television,4281,500 <= ... < 1000 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,car or other,23,none,own,2,skilled employee/official,1,no,yes,0,1,5650912653688667607
0 <= ... < 200 DM,12,critical account/other credits existing,car (new),2366,500 <= ... < 1000 DM,4 <= ... < 7 years,3,male : divorced/separated,none,3,car or other,36,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,8606245647996071668
... < 100 DM,21,existing credits paid back duly till now,domestic appliances,1835,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee/official,1,yes,yes,0,1,16944524888073610675
no checking account,24,critical account/other credits existing,car (used),3868,... < 100 DM,... >= 7 years,4,female : divorced/separated/married,none,2,car or other,41,none,rent,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,9009999292541509088
no checking account,12,existing credits paid back duly till now,radio/television,1768,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,24,none,rent,1,unskilled - resident,1,no,yes,1,0,15455252582650773869
... >= 200 DM / salary for at least 1 year,10,critical account/other credits existing,car (new),781,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,63,none,for free,2,skilled employee/official,1,yes,yes,1,0,8757761583424800637
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1924,unknown/no savings account,... < 1 year,4,female : divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee/official,1,no,yes,0,1,12999692750565106724
... < 100 DM,12,critical account/other credits existing,car (new),2121,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,30,none,own,2,skilled employee/official,1,no,yes,1,0,5974308150350072863
... < 100 DM,12,existing credits paid back duly till now,domestic appliances,701,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,no,yes,1,0,17940361763688774754
0 <= ... < 200 DM,12,existing credits paid back duly till now,education,639,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,30,none,own,1,skilled employee/official,1,no,yes,0,1,17616952507045394182
0 <= ... < 200 DM,12,critical account/other credits existing,car (used),1860,... < 100 DM,unemployed,4,male : single,none,2,car or other,34,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,15295157132269783330
