a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,class,adverse_target,profile_group_id
code_1,29.42,1.25,code_2,code_9,code_4,1.75,code_0,code_0,0,code_0,code_2,200,1,0,1,7210708975427270390
code_1,28.25,5.04,code_1,code_8,code_5,1.5,code_1,code_1,8,code_1,code_2,144,8,1,0,8484395837131424417
code_1,40.25,21.5,code_2,code_10,code_9,20.0,code_1,code_1,11,code_0,code_2,0,1201,1,0,7977968171481350943
code_1,36.5,4.25,code_2,code_11,code_4,3.5,code_0,code_0,0,code_0,code_2,454,51,0,1,12498506658264902381
code_1,25.58,0.335,code_2,code_4,code_8,3.5,code_0,code_0,0,code_1,code_2,340,1,0,1,6440094289733874122
code_1,29.83,3.5,code_2,code_8,code_4,0.165,code_0,code_0,0,code_0,code_2,216,1,0,1,5149512436004088442
code_1,23.08,0.0,code_2,code_4,code_4,1.0,code_0,code_1,11,code_0,code_1,0,1,0,1,13445773556192338382
code_0,32.17,1.46,code_2,code_9,code_4,1.085,code_1,code_1,16,code_0,code_2,120,2080,1,0,5542628960552784297
code_1,25.17,3.5,code_2,code_13,code_4,0.625,code_1,code_1,7,code_0,code_2,0,7060,1,0,7739843623927984126
code_0,35.17,3.75,code_2,code_1,code_1,0.0,code_0,code_1,6,code_0,code_2,0,201,0,1,907919119733488686
code_0,18.58,10.0,code_2,code_2,code_4,0.415,code_0,code_0,0,code_0,code_2,80,43,0,1,5057188989581286908
code_1,39.92,5.0,code_2,code_3,code_5,0.21,code_0,code_0,0,code_0,code_2,550,1,0,1,12159204408171666129
code_1,23.42,1.0,code_2,code_8,code_4,0.5,code_0,code_0,0,code_1,code_1,280,1,0,1,16057177353723337623
code_1,37.58,0.0,code_2,code_8,code_4,0.0,code_0,code_0,0,code_0,code_3,184,1,1,0,3276002857462086259
code_0,24.75,13.665,code_2,code_11,code_8,1.5,code_0,code_0,0,code_0,code_2,280,2,0,1,9790273431695273147
code_0,47.0,13.0,code_2,code_3,code_5,5.165,code_1,code_1,9,code_1,code_2,0,1,1,0,6136073694991937955
code_1,34.17,5.25,code_2,code_9,code_4,0.085,code_0,code_0,0,code_1,code_2,290,7,1,0,16755309451931107242
code_1,22.17,0.585,code_1,code_1,code_1,0.0,code_0,code_0,0,code_0,code_2,100,1,0,1,7450166797468738352
code_1,27.75,1.29,code_2,code_4,code_8,0.25,code_0,code_0,0,code_1,code_1,140,1,0,1,227339853129210114
code_1,42.75,4.085,code_2,code_6,code_4,0.04,code_0,code_0,0,code_0,code_2,108,101,0,1,6910328361922802294
code_1,28.67,14.5,code_2,code_2,code_4,0.125,code_0,code_0,0,code_0,code_2,0,287,0,1,132333535565254523
code_1,36.25,5.0,code_2,code_8,code_5,2.5,code_1,code_1,6,code_0,code_2,0,368,1,0,3483973506179582240
code_0,18.17,10.0,code_1,code_11,code_8,0.165,code_0,code_0,0,code_0,code_2,340,1,0,1,12132831767897510281
code_1,21.25,1.5,code_2,code_9,code_4,1.5,code_0,code_0,0,code_0,code_2,150,9,1,0,7805812589313352421
code_0,38.92,1.665,code_2,code_6,code_4,0.25,code_0,code_0,0,code_0,code_2,0,391,0,1,12249887130195967765
code_1,31.83,0.04,code_1,code_7,code_4,0.04,code_0,code_0,0,code_0,code_2,0,1,0,1,10648042078002490339
code_0,17.33,9.5,code_2,code_6,code_4,1.75,code_0,code_1,10,code_1,code_2,0,11,0,1,17616630034753274438
code_0,20.42,0.835,code_2,code_11,code_4,1.585,code_1,code_1,1,code_0,code_2,0,1,1,0,14659090791759393858
code_0,39.08,4.0,code_2,code_8,code_4,3.0,code_0,code_0,0,code_0,code_2,480,1,0,1,14210406670358040422
code_1,38.67,0.21,code_2,code_4,code_4,0.085,code_1,code_0,0,code_1,code_2,280,1,1,0,18140524178074716193
code_1,27.67,13.75,code_2,code_9,code_4,5.75,code_1,code_0,0,code_1,code_2,487,501,1,0,5137632328945706213
code_1,27.75,0.585,code_1,code_13,code_4,0.25,code_1,code_1,2,code_0,code_2,260,501,1,0,8845777573540406795
code_1,19.0,0.0,code_1,code_1,code_1,0.0,code_0,code_1,4,code_0,code_2,45,2,0,1,18155461635664461228
code_0,25.0,0.875,code_2,code_14,code_8,1.04,code_1,code_0,0,code_1,code_2,160,5861,1,0,14835024301397392908
code_1,27.67,2.0,code_2,code_14,code_8,1.0,code_1,code_1,4,code_0,code_2,140,7545,1,0,3874222873563847000
code_1,22.25,9.0,code_2,code_6,code_4,0.085,code_0,code_0,0,code_0,code_2,0,1,0,1,16952687528221253433
code_0,49.83,13.585,code_2,code_4,code_8,8.5,code_1,code_0,0,code_1,code_2,0,1,1,0,14498725696025695544
code_1,32.33,2.5,code_2,code_8,code_4,1.25,code_0,code_0,0,code_1,code_2,280,1,0,1,8930835696812974754
code_1,38.25,10.125,code_1,code_4,code_4,0.125,code_0,code_0,0,code_0,code_2,160,1,0,1,13877834639270695552
code_1,47.33,6.5,code_2,code_8,code_4,1.0,code_0,code_0,0,code_1,code_2,0,229,0,1,14030303693358015241
code_1,27.83,4.0,code_1,code_3,code_8,5.75,code_1,code_1,2,code_1,code_2,75,1,0,1,7333889803271500465
code_0,35.75,0.915,code_2,code_6,code_4,0.75,code_1,code_1,4,code_0,code_2,0,1584,1,0,11647736351322188218
code_1,33.58,0.25,code_2,code_3,code_5,4.0,code_0,code_0,0,code_1,code_1,420,1,0,1,34680941160711605
code_1,34.08,0.08,code_1,code_7,code_5,0.04,code_1,code_1,1,code_1,code_2,280,2001,1,0,12089278519128726087
code_0,20.75,10.335,code_2,code_13,code_8,0.335,code_1,code_1,1,code_1,code_2,80,51,1,0,3470888479682263828
code_1,33.17,1.0,code_2,code_14,code_4,0.75,code_1,code_1,7,code_1,code_2,340,4072,1,0,6132207781836788535
code_1,22.75,11.0,code_2,code_11,code_4,2.5,code_1,code_1,7,code_1,code_2,100,810,1,0,16884854931258998409
code_1,48.75,8.5,code_2,code_8,code_8,12.5,code_1,code_1,9,code_0,code_2,181,1656,1,0,2933334327832763554
code_1,40.58,5.0,code_2,code_8,code_4,5.0,code_1,code_1,7,code_0,code_2,0,3066,1,0,1440594206176676760
code_1,20.67,0.835,code_1,code_8,code_4,2.0,code_0,code_0,0,code_1,code_1,240,1,0,1,14433979333440980557
code_0,38.75,1.5,code_2,code_1,code_1,0.0,code_0,code_0,0,code_0,code_2,76,1,0,1,3558570678201322987
code_0,57.08,19.5,code_2,code_8,code_4,5.5,code_1,code_1,7,code_0,code_2,0,3001,1,0,17844716869657980844
code_0,31.25,3.75,code_2,code_13,code_8,0.625,code_1,code_1,9,code_1,code_2,181,1,1,0,13087932201426971112
code_1,22.0,0.79,code_2,code_9,code_4,0.29,code_0,code_1,1,code_0,code_2,420,284,0,1,2895872538936558454
code_0,58.33,10.0,code_2,code_11,code_4,4.0,code_1,code_1,14,code_0,code_2,0,1603,1,0,9344909339495266265
code_1,28.92,0.375,code_2,code_8,code_4,0.29,code_0,code_0,0,code_0,code_2,220,141,0,1,7291653466566489739
code_0,46.0,4.0,code_2,code_5,code_3,0.0,code_1,code_0,0,code_0,code_2,100,961,1,0,4259708280318399328
code_1,21.0,3.0,code_1,code_2,code_4,1.085,code_1,code_1,8,code_1,code_2,160,2,1,0,11619512383503251894
code_0,24.75,12.5,code_2,code_6,code_4,1.5,code_1,code_1,12,code_1,code_2,120,568,1,0,17140776037158324328
code_0,20.83,0.5,code_1,code_10,code_2,1.0,code_0,code_0,0,code_0,code_2,260,1,0,1,17636386142453719051
code_1,24.58,13.5,code_1,code_1,code_1,0.0,code_0,code_0,0,code_0,code_2,184,1,0,1,14026280888050675615
code_0,26.5,2.71,code_1,code_8,code_4,0.085,code_0,code_0,0,code_0,code_1,80,1,0,1,6716608071104546411
code_1,40.92,0.835,code_2,code_1,code_1,0.0,code_1,code_0,0,code_0,code_2,130,2,0,1,14258195861687626190
code_0,38.33,4.415,code_2,code_8,code_4,0.125,code_0,code_0,0,code_0,code_2,160,1,0,1,15855763046253450968
code_1,19.58,0.585,code_2,code_1,code_1,0.0,code_0,code_1,3,code_0,code_2,350,770,0,1,1303100177408688375
code_1,39.25,9.5,code_2,code_7,code_4,6.5,code_1,code_1,14,code_0,code_2,240,4608,1,0,1173412041764109402
code_1,25.75,0.5,code_2,code_8,code_4,1.46,code_1,code_1,5,code_1,code_2,312,1,1,0,18137369516761530058
code_0,46.08,3.0,code_2,code_8,code_4,2.375,code_1,code_1,8,code_1,code_2,396,4160,1,0,14504972667323693240
code_1,19.67,10.0,code_1,code_4,code_8,0.835,code_1,code_0,0,code_1,code_2,140,1,0,1,12717853466396248630
code_0,22.25,1.25,code_1,code_1,code_1,3.25,code_0,code_0,0,code_0,code_2,280,1,0,1,1325772588972007015
code_1,18.83,3.54,code_1,code_1,code_1,0.0,code_0,code_0,0,code_1,code_2,180,2,0,1,6611040520623186578
code_1,64.08,20.0,code_2,code_14,code_8,17.5,code_1,code_1,9,code_1,code_2,0,1001,1,0,2168221244072722924
code_0,16.5,1.25,code_2,code_11,code_4,0.25,code_0,code_1,1,code_0,code_2,108,99,0,1,5861934642430949335
code_0,68.67,15.0,code_2,code_10,code_9,0.0,code_1,code_1,14,code_0,code_2,0,3377,1,0,12792715047692520826
code_1,76.75,22.29,code_2,code_10,code_9,12.75,code_1,code_1,1,code_1,code_2,0,110,1,0,10103917530358696958
code_0,15.92,2.875,code_2,code_11,code_4,0.085,code_0,code_0,0,code_0,code_2,120,1,0,1,12779774312566059218
code_1,34.83,4.0,code_2,code_2,code_5,12.5,code_1,code_0,0,code_1,code_2,184,1,0,1,7893816543977099416
code_0,47.42,8.0,code_2,code_10,code_5,6.5,code_1,code_1,6,code_0,code_2,375,51101,1,0,9797369527880783797
code_1,23.17,0.0,code_2,code_8,code_4,0.0,code_0,code_0,0,code_0,code_3,184,1,1,0,15429478462599015994
code_1,45.17,1.5,code_2,code_8,code_4,2.5,code_1,code_0,0,code_1,code_2,140,1,0,1,12748292518690893127
code_1,15.17,7.0,code_2,code_10,code_4,1.0,code_0,code_0,0,code_0,code_2,600,1,0,1,5755348823380558983
code_1,18.83,0.415,code_1,code_8,code_4,0.165,code_0,code_1,1,code_0,code_2,200,2,0,1,7908303768188544687
code_1,52.5,6.5,code_2,code_4,code_4,6.29,code_1,code_1,15,code_0,code_2,0,11203,1,0,14841242586733158305
code_1,19.17,0.0,code_1,code_7,code_5,0.0,code_0,code_0,0,code_1,code_1,500,2,1,0,6100951216604017818
code_1,18.0,0.165,code_2,code_11,code_7,0.21,code_0,code_0,0,code_0,code_2,200,41,1,0,14077546693069624060
code_1,37.5,0.835,code_2,code_10,code_4,0.04,code_0,code_0,0,code_0,code_2,120,6,0,1,7854494849624035656
code_1,22.67,1.585,code_1,code_9,code_4,3.085,code_1,code_1,6,code_0,code_2,80,1,1,0,6738714028284363931
code_1,47.83,4.165,code_2,code_14,code_5,0.085,code_0,code_0,0,code_1,code_2,520,1,0,1,3003252987763247857
code_1,34.08,2.5,code_2,code_8,code_4,1.0,code_0,code_0,0,code_0,code_2,460,17,0,1,10626915461268158806
code_0,33.08,1.625,code_2,code_2,code_4,0.54,code_0,code_0,0,code_1,code_2,0,1,0,1,18327992210450916116
code_1,43.08,0.375,code_1,code_8,code_4,0.375,code_1,code_1,8,code_1,code_2,300,163,1,0,530757913030271539
code_1,34.5,4.04,code_1,code_3,code_5,8.5,code_1,code_1,7,code_1,code_2,195,1,1,0,13196155707212940299
code_1,42.75,3.0,code_2,code_3,code_5,1.0,code_1,code_0,0,code_0,code_2,0,201,0,1,18348181802220715288
code_1,18.25,0.165,code_2,code_2,code_4,0.25,code_0,code_0,0,code_1,code_1,280,1,0,1,1841965489719511066
code_1,23.08,2.5,code_2,code_1,code_1,0.085,code_0,code_0,0,code_1,code_2,100,4209,0,1,3682615629239661697
code_0,22.5,8.46,code_1,code_14,code_4,2.46,code_0,code_0,0,code_0,code_2,164,1,1,0,9737010893087464641
code_1,17.92,0.205,code_2,code_6,code_4,0.04,code_0,code_0,0,code_0,code_2,280,751,0,1,3962908290251576298
code_1,18.42,10.415,code_1,code_6,code_4,0.125,code_1,code_0,0,code_0,code_2,120,376,0,1,9339435547531220603
code_0,27.67,1.5,code_2,code_7,code_4,2.0,code_1,code_0,0,code_0,code_1,368,1,0,1,433417727987774069
code_0,18.92,9.25,code_1,code_8,code_4,1.0,code_1,code_1,4,code_1,code_2,80,501,1,0,796441164183601873
code_1,22.67,0.75,code_2,code_3,code_4,1.585,code_0,code_1,1,code_1,code_2,400,10,0,1,14292623872237418208
code_1,62.5,12.75,code_1,code_8,code_8,5.0,code_1,code_0,0,code_0,code_2,112,1,0,1,17694303288580683367
code_0,23.5,9.0,code_2,code_11,code_4,8.5,code_1,code_1,5,code_1,code_2,120,1,1,0,12315900172548725241
code_1,35.25,3.165,code_2,code_14,code_8,3.75,code_1,code_0,0,code_1,code_2,680,1,0,1,4959620250497073770
code_0,56.83,4.25,code_1,code_1,code_1,5.0,code_0,code_0,0,code_1,code_2,0,5,0,1,7444423110700268902
code_0,53.33,0.165,code_2,code_1,code_1,0.0,code_0,code_0,0,code_1,code_1,62,28,0,1,17881509955458016354
code_1,41.17,4.04,code_2,code_13,code_8,7.0,code_1,code_1,8,code_0,code_2,320,1,1,0,5068449346208288044
code_1,42.17,5.04,code_2,code_11,code_8,12.75,code_1,code_0,0,code_1,code_2,92,1,1,0,18019976471850102575
code_1,41.17,1.25,code_1,code_9,code_4,0.25,code_0,code_0,0,code_0,code_2,0,196,0,1,10115530291317096640
code_0,33.75,0.75,code_2,code_4,code_5,1.0,code_1,code_1,3,code_1,code_2,212,1,0,1,5457526637277462584
code_1,25.67,12.5,code_2,code_13,code_4,1.21,code_1,code_1,67,code_1,code_2,140,259,1,0,988985708372207832
code_1,24.33,6.625,code_1,code_2,code_4,5.5,code_1,code_0,0,code_1,code_1,100,1,1,0,9188338631349920168
code_1,23.33,11.625,code_1,code_9,code_4,0.835,code_1,code_0,0,code_1,code_2,160,301,1,0,3852704183134787342
code_1,30.67,2.5,code_2,code_13,code_8,2.25,code_0,code_0,0,code_1,code_1,340,1,0,1,5079613780573540999
code_1,37.17,4.0,code_2,code_8,code_5,5.0,code_1,code_0,0,code_1,code_1,280,1,0,1,8958497005638091638
code_1,26.25,1.54,code_2,code_9,code_4,0.125,code_0,code_0,0,code_0,code_2,100,1,0,1,4162520748444958330
code_0,29.75,0.665,code_2,code_9,code_4,0.25,code_0,code_0,0,code_1,code_2,300,1,0,1,17225855820196839567
code_0,23.0,1.835,code_2,code_5,code_3,0.0,code_0,code_1,1,code_0,code_2,200,54,0,1,10399754253960741842
code_1,17.25,3.0,code_2,code_4,code_4,0.04,code_0,code_0,0,code_1,code_2,160,41,0,1,8427092539695618096
code_1,29.25,14.79,code_2,code_6,code_4,5.04,code_1,code_1,5,code_1,code_2,168,1,1,0,13931910413009075002
code_0,28.58,3.54,code_2,code_3,code_5,0.5,code_1,code_0,0,code_1,code_2,171,1,0,1,16785594932538828017
code_1,34.58,0.0,code_2,code_8,code_4,0.0,code_0,code_0,0,code_0,code_3,184,1,0,1,17160877775911800734
code_1,23.42,0.585,code_2,code_8,code_8,0.085,code_1,code_0,0,code_0,code_2,180,1,0,1,8384402968707773923
code_1,25.0,11.25,code_2,code_8,code_4,2.5,code_1,code_1,17,code_0,code_2,200,1209,1,0,9081588013898311950
code_0,18.75,7.5,code_2,code_11,code_4,2.71,code_1,code_1,5,code_0,code_2,184,26727,1,0,7844846703141978004
code_1,17.08,0.25,code_2,code_11,code_4,0.335,code_0,code_1,4,code_0,code_2,160,9,0,1,3408398469822310006
code_0,16.08,0.335,code_2,code_1,code_1,0.0,code_0,code_1,1,code_0,code_2,160,127,0,1,5421488023770162180
code_1,32.92,2.5,code_2,code_6,code_4,1.75,code_0,code_1,2,code_1,code_2,720,1,0,1,16142570289834456843
code_0,20.33,10.0,code_2,code_8,code_8,1.0,code_1,code_1,4,code_0,code_2,50,1466,1,0,1456750968110951294
code_0,21.75,1.75,code_1,code_5,code_3,0.0,code_0,code_0,0,code_0,code_2,160,1,0,1,1745263045911672919
code_1,33.17,1.04,code_2,code_12,code_8,6.5,code_1,code_0,0,code_1,code_2,164,31286,1,0,15204456183361076763
code_0,25.33,2.085,code_2,code_8,code_8,2.75,code_1,code_0,0,code_1,code_2,360,2,0,1,11739381977143235564
code_0,24.75,3.0,code_2,code_11,code_8,1.835,code_1,code_1,19,code_0,code_2,0,501,1,0,1014314111000211783
code_1,30.83,0.0,code_2,code_9,code_4,1.25,code_1,code_1,1,code_0,code_2,202,1,1,0,7024634989497621544
code_1,20.75,5.085,code_1,code_5,code_4,0.29,code_0,code_0,0,code_0,code_2,140,185,0,1,8462266465212297805
code_0,40.33,8.125,code_1,code_4,code_4,0.165,code_0,code_1,2,code_0,code_2,184,19,0,1,13005049040765246957
code_1,29.42,1.25,code_2,code_8,code_8,0.25,code_0,code_1,2,code_1,code_2,400,109,0,1,15553756068401121995
code_1,40.92,0.5,code_1,code_7,code_4,0.5,code_0,code_0,0,code_1,code_2,130,1,0,1,14310969713907157064
code_0,29.5,0.46,code_2,code_4,code_4,0.54,code_1,code_1,4,code_0,code_2,380,501,1,0,7458299996009974070
code_1,54.42,0.5,code_1,code_4,code_8,3.96,code_1,code_0,0,code_0,code_2,180,315,1,0,14200269278555045414
code_1,34.0,5.5,code_1,code_8,code_4,1.5,code_0,code_0,0,code_1,code_2,60,1,0,1,3423499139310198094
code_1,25.0,12.0,code_2,code_4,code_4,2.25,code_1,code_1,2,code_1,code_2,120,6,0,1,14552912806308492319
code_0,26.58,2.54,code_1,code_1,code_1,0.0,code_0,code_0,0,code_1,code_2,180,61,0,1,6804718132159474112
code_0,33.08,4.625,code_2,code_11,code_8,1.625,code_1,code_1,2,code_0,code_2,0,1,1,0,10742929231677618294
code_1,33.67,2.165,code_2,code_8,code_4,1.5,code_0,code_0,0,code_0,code_3,120,1,0,1,5342914070104906288
code_1,36.17,5.5,code_2,code_3,code_5,5.0,code_0,code_0,0,code_0,code_2,210,688,0,1,15079411432066962866
code_1,19.5,0.29,code_2,code_4,code_4,0.29,code_0,code_0,0,code_0,code_2,280,365,0,1,6817644028188656100
code_1,24.17,0.875,code_2,code_11,code_4,4.625,code_1,code_1,2,code_1,code_2,520,2001,1,0,7503050841855505016
code_0,30.5,6.5,code_2,code_8,code_5,4.0,code_1,code_1,7,code_1,code_2,0,3066,1,0,4441002279478818655
code_1,20.0,7.0,code_2,code_8,code_4,0.5,code_0,code_0,0,code_0,code_2,0,1,0,1,17124274147240763568
code_1,25.33,0.58,code_2,code_8,code_4,0.29,code_1,code_1,7,code_1,code_2,96,5125,1,0,8970579630337844058
