dataset,preprocessor_mode,transformed_index,transformed_feature,source_feature,source_role
Australian Credit Approval,tree,4,num__a13,a13,numerical
Australian Credit Approval,tree,5,num__a14,a14,numerical
Australian Credit Approval,tree,6,cat__a1_code_0,a1,categorical
Australian Credit Approval,tree,7,cat__a1_code_1,a1,categorical
Australian Credit Approval,tree,8,cat__a4_code_1,a4,categorical
Australian Credit Approval,tree,9,cat__a4_code_2,a4,categorical
Australian Credit Approval,tree,10,cat__a4_code_3,a4,categorical
Australian Credit Approval,tree,11,cat__a5_code_1,a5,categorical
Australian Credit Approval,tree,12,cat__a5_code_10,a5,categorical
Australian Credit Approval,tree,13,cat__a5_code_11,a5,categorical
Australian Credit Approval,tree,14,cat__a5_code_12,a5,categorical
Australian Credit Approval,tree,15,cat__a5_code_13,a5,categorical
Australian Credit Approval,tree,16,cat__a5_code_14,a5,categorical
Australian Credit Approval,tree,17,cat__a5_code_2,a5,categorical
Australian Credit Approval,tree,18,cat__a5_code_3,a5,categorical
Australian Credit Approval,tree,19,cat__a5_code_4,a5,categorical
Australian Credit Approval,tree,20,cat__a5_code_5,a5,categorical
Australian Credit Approval,tree,21,cat__a5_code_6,a5,categorical
Australian Credit Approval,tree,22,cat__a5_code_7,a5,categorical
Australian Credit Approval,tree,23,cat__a5_code_8,a5,categorical
Australian Credit Approval,tree,24,cat__a5_code_9,a5,categorical
Australian Credit Approval,tree,25,cat__a6_code_1,a6,categorical
Australian Credit Approval,tree,26,cat__a6_code_2,a6,categorical
Australian Credit Approval,tree,27,cat__a6_code_3,a6,categorical
Australian Credit Approval,tree,28,cat__a6_code_4,a6,categorical
Australian Credit Approval,tree,29,cat__a6_code_5,a6,categorical
Australian Credit Approval,tree,30,cat__a6_code_7,a6,categorical
Australian Credit Approval,tree,31,cat__a6_code_8,a6,categorical
Australian Credit Approval,tree,32,cat__a6_code_9,a6,categorical
Australian Credit Approval,tree,33,cat__a8_code_0,a8,categorical
Australian Credit Approval,tree,34,cat__a8_code_1,a8,categorical
Australian Credit Approval,tree,35,cat__a9_code_0,a9,categorical
Australian Credit Approval,tree,36,cat__a9_code_1,a9,categorical
Australian Credit Approval,tree,37,cat__a11_code_0,a11,categorical
Australian Credit Approval,tree,38,cat__a11_code_1,a11,categorical
Australian Credit Approval,tree,39,cat__a12_code_1,a12,categorical
Australian Credit Approval,tree,40,cat__a12_code_2,a12,categorical
Australian Credit Approval,tree,41,cat__a12_code_3,a12,categorical
Australian Credit Approval,chi2,0,num__a2,a2,numerical
Australian Credit Approval,chi2,1,num__a3,a3,numerical
Australian Credit Approval,chi2,2,num__a7,a7,numerical
Australian Credit Approval,chi2,3,num__a10,a10,numerical
Australian Credit Approval,chi2,4,num__a13,a13,numerical
Australian Credit Approval,chi2,5,num__a14,a14,numerical
Australian Credit Approval,chi2,6,cat__a1_code_0,a1,categorical
Australian Credit Approval,chi2,7,cat__a1_code_1,a1,categorical
Australian Credit Approval,chi2,8,cat__a4_code_1,a4,categorical
Australian Credit Approval,chi2,9,cat__a4_code_2,a4,categorical
Australian Credit Approval,chi2,10,cat__a4_code_3,a4,categorical
Australian Credit Approval,chi2,11,cat__a5_code_1,a5,categorical
Australian Credit Approval,chi2,12,cat__a5_code_10,a5,categorical
Australian Credit Approval,chi2,13,cat__a5_code_11,a5,categorical
Australian Credit Approval,chi2,14,cat__a5_code_12,a5,categorical
Australian Credit Approval,chi2,15,cat__a5_code_13,a5,categorical
Australian Credit Approval,chi2,16,cat__a5_code_14,a5,categorical
Australian Credit Approval,chi2,17,cat__a5_code_2,a5,categorical
Australian Credit Approval,chi2,18,cat__a5_code_3,a5,categorical
Australian Credit Approval,chi2,19,cat__a5_code_4,a5,categorical
Australian Credit Approval,chi2,20,cat__a5_code_5,a5,categorical
Australian Credit Approval,chi2,21,cat__a5_code_6,a5,categorical
Australian Credit Approval,chi2,22,cat__a5_code_7,a5,categorical
Australian Credit Approval,chi2,23,cat__a5_code_8,a5,categorical
Australian Credit Approval,chi2,24,cat__a5_code_9,a5,categorical
Australian Credit Approval,chi2,25,cat__a6_code_1,a6,categorical
Australian Credit Approval,chi2,26,cat__a6_code_2,a6,categorical
Australian Credit Approval,chi2,27,cat__a6_code_3,a6,categorical
Australian Credit Approval,chi2,28,cat__a6_code_4,a6,categorical
Australian Credit Approval,chi2,29,cat__a6_code_5,a6,categorical
Australian Credit Approval,chi2,30,cat__a6_code_7,a6,categorical
Australian Credit Approval,chi2,31,cat__a6_code_8,a6,categorical
Australian Credit Approval,chi2,32,cat__a6_code_9,a6,categorical
Australian Credit Approval,chi2,33,cat__a8_code_0,a8,categorical
Australian Credit Approval,chi2,34,cat__a8_code_1,a8,categorical
Australian Credit Approval,chi2,35,cat__a9_code_0,a9,categorical
Australian Credit Approval,chi2,36,cat__a9_code_1,a9,categorical
Australian Credit Approval,chi2,37,cat__a11_code_0,a11,categorical
Australian Credit Approval,chi2,38,cat__a11_code_1,a11,categorical
Australian Credit Approval,chi2,39,cat__a12_code_1,a12,categorical
Australian Credit Approval,chi2,40,cat__a12_code_2,a12,categorical
Australian Credit Approval,chi2,41,cat__a12_code_3,a12,categorical
German Credit,linear,0,num__duration,duration,numerical
German Credit,linear,1,num__amount,amount,numerical
German Credit,linear,2,num__installment_rate,installment_rate,numerical
German Credit,linear,3,num__present_residence,present_residence,numerical
German Credit,linear,4,num__age,age,numerical
German Credit,linear,5,num__number_credits,number_credits,numerical
German Credit,linear,6,num__people_liable,people_liable,numerical
German Credit,linear,7,cat__status_... < 100 DM,status,categorical
German Credit,linear,8,cat__status_... >= 200 DM / salary for at least 1 year,status,categorical
German Credit,linear,9,cat__status_0 <= ... < 200 DM,status,categorical
German Credit,linear,10,cat__status_no checking account,status,categorical
German Credit,linear,11,cat__credit_history_all credits at this bank paid back duly,credit_history,categorical
German Credit,linear,12,cat__credit_history_critical account/other credits existing,credit_history,categorical
German Credit,linear,13,cat__credit_history_delay in paying off in the past,credit_history,categorical
German Credit,linear,14,cat__credit_history_existing credits paid back duly till now,credit_history,categorical
German Credit,linear,15,cat__credit_history_no credits taken/all credits paid back duly,credit_history,categorical
German Credit,linear,16,cat__purpose_business,purpose,categorical
German Credit,linear,17,cat__purpose_car (new),purpose,categorical
German Credit,linear,18,cat__purpose_car (used),purpose,categorical
German Credit,linear,19,cat__purpose_domestic appliances,purpose,categorical
German Credit,linear,20,cat__purpose_education,purpose,categorical
German Credit,linear,21,cat__purpose_furniture/equipment,purpose,categorical
German Credit,linear,22,cat__purpose_others,purpose,categorical
German Credit,linear,23,cat__purpose_radio/television,purpose,categorical
German Credit,linear,24,cat__purpose_repairs,purpose,categorical
German Credit,linear,25,cat__purpose_retraining,purpose,categorical
German Credit,linear,26,cat__savings_... < 100 DM,savings,categorical
German Credit,linear,27,cat__savings_... >= 1000 DM,savings,categorical
German Credit,linear,28,cat__savings_100 <= ... < 500 DM,savings,categorical
German Credit,linear,29,cat__savings_500 <= ... < 1000 DM,savings,categorical
German Credit,linear,30,cat__savings_unknown/no savings account,savings,categorical
German Credit,linear,31,cat__employment_duration_... < 1 year,employment_duration,categorical
German Credit,linear,32,cat__employment_duration_... >= 7 years,employment_duration,categorical
German Credit,linear,33,cat__employment_duration_1 <= ... < 4 years,employment_duration,categorical
German Credit,linear,34,cat__employment_duration_4 <= ... < 7 years,employment_duration,categorical
German Credit,linear,35,cat__employment_duration_unemployed,employment_duration,categorical
German Credit,linear,36,cat__personal_status_sex_female : divorced/separated/married,personal_status_sex,categorical
German Credit,linear,37,cat__personal_status_sex_male : divorced/separated,personal_status_sex,categorical
German Credit,linear,38,cat__personal_status_sex_male : married/widowed,personal_status_sex,categorical
German Credit,linear,39,cat__personal_status_sex_male : single,personal_status_sex,categorical
German Credit,linear,40,cat__other_debtors_co-applicant,other_debtors,categorical
German Credit,linear,41,cat__other_debtors_guarantor,other_debtors,categorical
German Credit,linear,42,cat__other_debtors_none,other_debtors,categorical
German Credit,linear,43,cat__property_building society savings agreement/life insurance,property,categorical
German Credit,linear,44,cat__property_car or other,property,categorical
German Credit,linear,45,cat__property_real estate,property,categorical
German Credit,linear,46,cat__property_unknown/no property,property,categorical
German Credit,linear,47,cat__other_installment_plans_bank,other_installment_plans,categorical
German Credit,linear,48,cat__other_installment_plans_none,other_installment_plans,categorical
German Credit,linear,49,cat__other_installment_plans_stores,other_installment_plans,categorical
German Credit,linear,50,cat__housing_for free,housing,categorical
German Credit,linear,51,cat__housing_own,housing,categorical
German Credit,linear,52,cat__housing_rent,housing,categorical
German Credit,linear,53,cat__job_management/self-employed/highly qualified employee/officer,job,categorical
German Credit,linear,54,cat__job_skilled employee/official,job,categorical
German Credit,linear,55,cat__job_unemployed/unskilled - non-resident,job,categorical
German Credit,linear,56,cat__job_unskilled - resident,job,categorical
German Credit,linear,57,cat__telephone_no,telephone,categorical
German Credit,linear,58,cat__telephone_yes,telephone,categorical
German Credit,linear,59,cat__foreign_worker_no,foreign_worker,categorical
German Credit,linear,60,cat__foreign_worker_yes,foreign_worker,categorical
German Credit,tree,0,num__duration,duration,numerical
German Credit,tree,1,num__amount,amount,numerical
German Credit,tree,2,num__installment_rate,installment_rate,numerical
German Credit,tree,3,num__present_residence,present_residence,numerical
German Credit,tree,4,num__age,age,numerical
German Credit,tree,5,num__number_credits,number_credits,numerical
German Credit,tree,6,num__people_liable,people_liable,numerical
German Credit,tree,7,cat__status_... < 100 DM,status,categorical
German Credit,tree,8,cat__status_... >= 200 DM / salary for at least 1 year,status,categorical
German Credit,tree,9,cat__status_0 <= ... < 200 DM,status,categorical
German Credit,tree,10,cat__status_no checking account,status,categorical
German Credit,tree,11,cat__credit_history_all credits at this bank paid back duly,credit_history,categorical
German Credit,tree,12,cat__credit_history_critical account/other credits existing,credit_history,categorical
German Credit,tree,13,cat__credit_history_delay in paying off in the past,credit_history,categorical
German Credit,tree,14,cat__credit_history_existing credits paid back duly till now,credit_history,categorical
German Credit,tree,15,cat__credit_history_no credits taken/all credits paid back duly,credit_history,categorical
German Credit,tree,16,cat__purpose_business,purpose,categorical
German Credit,tree,17,cat__purpose_car (new),purpose,categorical
German Credit,tree,18,cat__purpose_car (used),purpose,categorical
German Credit,tree,19,cat__purpose_domestic appliances,purpose,categorical
German Credit,tree,20,cat__purpose_education,purpose,categorical
German Credit,tree,21,cat__purpose_furniture/equipment,purpose,categorical
German Credit,tree,22,cat__purpose_others,purpose,categorical
German Credit,tree,23,cat__purpose_radio/television,purpose,categorical
German Credit,tree,24,cat__purpose_repairs,purpose,categorical
German Credit,tree,25,cat__purpose_retraining,purpose,categorical
German Credit,tree,26,cat__savings_... < 100 DM,savings,categorical
German Credit,tree,27,cat__savings_... >= 1000 DM,savings,categorical
German Credit,tree,28,cat__savings_100 <= ... < 500 DM,savings,categorical
German Credit,tree,29,cat__savings_500 <= ... < 1000 DM,savings,categorical
German Credit,tree,30,cat__savings_unknown/no savings account,savings,categorical
German Credit,tree,31,cat__employment_duration_... < 1 year,employment_duration,categorical
German Credit,tree,32,cat__employment_duration_... >= 7 years,employment_duration,categorical
German Credit,tree,33,cat__employment_duration_1 <= ... < 4 years,employment_duration,categorical
German Credit,tree,34,cat__employment_duration_4 <= ... < 7 years,employment_duration,categorical
German Credit,tree,35,cat__employment_duration_unemployed,employment_duration,categorical
German Credit,tree,36,cat__personal_status_sex_female : divorced/separated/married,personal_status_sex,categorical
German Credit,tree,37,cat__personal_status_sex_male : divorced/separated,personal_status_sex,categorical
German Credit,tree,38,cat__personal_status_sex_male : married/widowed,personal_status_sex,categorical
German Credit,tree,39,cat__personal_status_sex_male : single,personal_status_sex,categorical
German Credit,tree,40,cat__other_debtors_co-applicant,other_debtors,categorical
German Credit,tree,41,cat__other_debtors_guarantor,other_debtors,categorical
German Credit,tree,42,cat__other_debtors_none,other_debtors,categorical
German Credit,tree,43,cat__property_building society savings agreement/life insurance,property,categorical
German Credit,tree,44,cat__property_car or other,property,categorical
German Credit,tree,45,cat__property_real estate,property,categorical
German Credit,tree,46,cat__property_unknown/no property,property,categorical
German Credit,tree,47,cat__other_installment_plans_bank,other_installment_plans,categorical
German Credit,tree,48,cat__other_installment_plans_none,other_installment_plans,categorical
German Credit,tree,49,cat__other_installment_plans_stores,other_installment_plans,categorical
German Credit,tree,50,cat__housing_for free,housing,categorical
German Credit,tree,51,cat__housing_own,housing,categorical
German Credit,tree,52,cat__housing_rent,housing,categorical
German Credit,tree,53,cat__job_management/self-employed/highly qualified employee/officer,job,categorical
German Credit,tree,54,cat__job_skilled employee/official,job,categorical
German Credit,tree,55,cat__job_unemployed/unskilled - non-resident,job,categorical
German Credit,tree,56,cat__job_unskilled - resident,job,categorical
German Credit,tree,57,cat__telephone_no,telephone,categorical
German Credit,tree,58,cat__telephone_yes,telephone,categorical
German Credit,tree,59,cat__foreign_worker_no,foreign_worker,categorical
German Credit,tree,60,cat__foreign_worker_yes,foreign_worker,categorical
German Credit,chi2,0,num__duration,duration,numerical
German Credit,chi2,1,num__amount,amount,numerical
German Credit,chi2,2,num__installment_rate,installment_rate,numerical
German Credit,chi2,3,num__present_residence,present_residence,numerical
German Credit,chi2,4,num__age,age,numerical
German Credit,chi2,5,num__number_credits,number_credits,numerical
German Credit,chi2,6,num__people_liable,people_liable,numerical
German Credit,chi2,7,cat__status_... < 100 DM,status,categorical
German Credit,chi2,8,cat__status_... >= 200 DM / salary for at least 1 year,status,categorical
German Credit,chi2,9,cat__status_0 <= ... < 200 DM,status,categorical
German Credit,chi2,10,cat__status_no checking account,status,categorical
German Credit,chi2,11,cat__credit_history_all credits at this bank paid back duly,credit_history,categorical
German Credit,chi2,12,cat__credit_history_critical account/other credits existing,credit_history,categorical
German Credit,chi2,13,cat__credit_history_delay in paying off in the past,credit_history,categorical
German Credit,chi2,14,cat__credit_history_existing credits paid back duly till now,credit_history,categorical
German Credit,chi2,15,cat__credit_history_no credits taken/all credits paid back duly,credit_history,categorical
German Credit,chi2,16,cat__purpose_business,purpose,categorical
German Credit,chi2,17,cat__purpose_car (new),purpose,categorical
German Credit,chi2,18,cat__purpose_car (used),purpose,categorical
German Credit,chi2,19,cat__purpose_domestic appliances,purpose,categorical
German Credit,chi2,20,cat__purpose_education,purpose,categorical
German Credit,chi2,21,cat__purpose_furniture/equipment,purpose,categorical
German Credit,chi2,22,cat__purpose_others,purpose,categorical
German Credit,chi2,23,cat__purpose_radio/television,purpose,categorical
German Credit,chi2,24,cat__purpose_repairs,purpose,categorical
German Credit,chi2,25,cat__purpose_retraining,purpose,categorical
German Credit,chi2,26,cat__savings_... < 100 DM,savings,categorical
German Credit,chi2,27,cat__savings_... >= 1000 DM,savings,categorical
German Credit,chi2,28,cat__savings_100 <= ... < 500 DM,savings,categorical
German Credit,chi2,29,cat__savings_500 <= ... < 1000 DM,savings,categorical
German Credit,chi2,30,cat__savings_unknown/no savings account,savings,categorical
German Credit,chi2,31,cat__employment_duration_... < 1 year,employment_duration,categorical
German Credit,chi2,32,cat__employment_duration_... >= 7 years,employment_duration,categorical
German Credit,chi2,33,cat__employment_duration_1 <= ... < 4 years,employment_duration,categorical
German Credit,chi2,34,cat__employment_duration_4 <= ... < 7 years,employment_duration,categorical
German Credit,chi2,35,cat__employment_duration_unemployed,employment_duration,categorical
German Credit,chi2,36,cat__personal_status_sex_female : divorced/separated/married,personal_status_sex,categorical
German Credit,chi2,37,cat__personal_status_sex_male : divorced/separated,personal_status_sex,categorical
German Credit,chi2,38,cat__personal_status_sex_male : married/widowed,personal_status_sex,categorical
German Credit,chi2,39,cat__personal_status_sex_male : single,personal_status_sex,categorical
German Credit,chi2,40,cat__other_debtors_co-applicant,other_debtors,categorical
German Credit,chi2,41,cat__other_debtors_guarantor,other_debtors,categorical
German Credit,chi2,42,cat__other_debtors_none,other_debtors,categorical
German Credit,chi2,43,cat__property_building society savings agreement/life insurance,property,categorical
German Credit,chi2,44,cat__property_car or other,property,categorical
German Credit,chi2,45,cat__property_real estate,property,categorical
German Credit,chi2,46,cat__property_unknown/no property,property,categorical
German Credit,chi2,47,cat__other_installment_plans_bank,other_installment_plans,categorical
German Credit,chi2,48,cat__other_installment_plans_none,other_installment_plans,categorical
German Credit,chi2,49,cat__other_installment_plans_stores,other_installment_plans,categorical
German Credit,chi2,50,cat__housing_for free,housing,categorical
German Credit,chi2,51,cat__housing_own,housing,categorical
German Credit,chi2,52,cat__housing_rent,housing,categorical
German Credit,chi2,53,cat__job_management/self-employed/highly qualified employee/officer,job,categorical
German Credit,chi2,54,cat__job_skilled employee/official,job,categorical
German Credit,chi2,55,cat__job_unemployed/unskilled - non-resident,job,categorical
German Credit,chi2,56,cat__job_unskilled - resident,job,categorical
German Credit,chi2,57,cat__telephone_no,telephone,categorical
German Credit,chi2,58,cat__telephone_yes,telephone,categorical
German Credit,chi2,59,cat__foreign_worker_no,foreign_worker,categorical
German Credit,chi2,60,cat__foreign_worker_yes,foreign_worker,categorical
Taiwan Credit Card Default,linear,0,num__limit_bal,limit_bal,numerical
Taiwan Credit Card Default,linear,1,num__age,age,numerical
Taiwan Credit Card Default,linear,2,num__bill_amt1,bill_amt1,numerical
Taiwan Credit Card Default,linear,3,num__bill_amt2,bill_amt2,numerical
Taiwan Credit Card Default,linear,4,num__bill_amt3,bill_amt3,numerical
Taiwan Credit Card Default,linear,5,num__bill_amt4,bill_amt4,numerical
Taiwan Credit Card Default,linear,6,num__bill_amt5,bill_amt5,numerical
Taiwan Credit Card Default,linear,7,num__bill_amt6,bill_amt6,numerical
Taiwan Credit Card Default,linear,8,num__pay_amt1,pay_amt1,numerical
Taiwan Credit Card Default,linear,9,num__pay_amt2,pay_amt2,numerical
Taiwan Credit Card Default,linear,10,num__pay_amt3,pay_amt3,numerical
Taiwan Credit Card Default,linear,11,num__pay_amt4,pay_amt4,numerical
Taiwan Credit Card Default,linear,12,num__pay_amt5,pay_amt5,numerical
Taiwan Credit Card Default,linear,13,num__pay_amt6,pay_amt6,numerical
Taiwan Credit Card Default,linear,14,ord__pay_0,pay_0,ordinal
Taiwan Credit Card Default,linear,15,ord__pay_2,pay_2,ordinal
Taiwan Credit Card Default,linear,16,ord__pay_3,pay_3,ordinal
Taiwan Credit Card Default,linear,17,ord__pay_4,pay_4,ordinal
Taiwan Credit Card Default,linear,18,ord__pay_5,pay_5,ordinal
Taiwan Credit Card Default,linear,19,ord__pay_6,pay_6,ordinal
Taiwan Credit Card Default,linear,20,cat__sex_female,sex,categorical
Taiwan Credit Card Default,linear,21,cat__sex_male,sex,categorical
Taiwan Credit Card Default,linear,22,cat__education_graduate_school,education,categorical
Taiwan Credit Card Default,linear,23,cat__education_high_school,education,categorical
Taiwan Credit Card Default,linear,24,cat__education_other_or_unknown,education,categorical
Taiwan Credit Card Default,linear,25,cat__education_university,education,categorical
Taiwan Credit Card Default,linear,26,cat__marriage_married,marriage,categorical
Taiwan Credit Card Default,linear,27,cat__marriage_other_or_unknown,marriage,categorical
Taiwan Credit Card Default,linear,28,cat__marriage_single,marriage,categorical
Taiwan Credit Card Default,tree,0,num__limit_bal,limit_bal,numerical
Taiwan Credit Card Default,tree,1,num__age,age,numerical
Taiwan Credit Card Default,tree,2,num__bill_amt1,bill_amt1,numerical
Taiwan Credit Card Default,tree,3,num__bill_amt2,bill_amt2,numerical
Taiwan Credit Card Default,tree,4,num__bill_amt3,bill_amt3,numerical
Taiwan Credit Card Default,tree,5,num__bill_amt4,bill_amt4,numerical
Taiwan Credit Card Default,tree,6,num__bill_amt5,bill_amt5,numerical
Taiwan Credit Card Default,tree,7,num__bill_amt6,bill_amt6,numerical
Taiwan Credit Card Default,tree,8,num__pay_amt1,pay_amt1,numerical
Taiwan Credit Card Default,tree,9,num__pay_amt2,pay_amt2,numerical
Taiwan Credit Card Default,tree,10,num__pay_amt3,pay_amt3,numerical
Taiwan Credit Card Default,tree,11,num__pay_amt4,pay_amt4,numerical
Taiwan Credit Card Default,tree,12,num__pay_amt5,pay_amt5,numerical
Taiwan Credit Card Default,tree,13,num__pay_amt6,pay_amt6,numerical
Taiwan Credit Card Default,tree,14,ord__pay_0,pay_0,ordinal
Taiwan Credit Card Default,tree,15,ord__pay_2,pay_2,ordinal
Taiwan Credit Card Default,tree,16,ord__pay_3,pay_3,ordinal
Taiwan Credit Card Default,tree,17,ord__pay_4,pay_4,ordinal
Taiwan Credit Card Default,tree,18,ord__pay_5,pay_5,ordinal
Taiwan Credit Card Default,tree,19,ord__pay_6,pay_6,ordinal
Taiwan Credit Card Default,tree,20,cat__sex_female,sex,categorical
Taiwan Credit Card Default,tree,21,cat__sex_male,sex,categorical
Taiwan Credit Card Default,tree,22,cat__education_graduate_school,education,categorical
Taiwan Credit Card Default,tree,23,cat__education_high_school,education,categorical
Taiwan Credit Card Default,tree,24,cat__education_other_or_unknown,education,categorical
Taiwan Credit Card Default,tree,25,cat__education_university,education,categorical
Taiwan Credit Card Default,tree,26,cat__marriage_married,marriage,categorical
Taiwan Credit Card Default,tree,27,cat__marriage_other_or_unknown,marriage,categorical
Taiwan Credit Card Default,tree,28,cat__marriage_single,marriage,categorical
Taiwan Credit Card Default,chi2,0,num__limit_bal,limit_bal,numerical
Taiwan Credit Card Default,chi2,1,num__age,age,numerical
Taiwan Credit Card Default,chi2,2,num__bill_amt1,bill_amt1,numerical
Taiwan Credit Card Default,chi2,3,num__bill_amt2,bill_amt2,numerical
Taiwan Credit Card Default,chi2,4,num__bill_amt3,bill_amt3,numerical
Taiwan Credit Card Default,chi2,5,num__bill_amt4,bill_amt4,numerical
Taiwan Credit Card Default,chi2,6,num__bill_amt5,bill_amt5,numerical
Taiwan Credit Card Default,chi2,7,num__bill_amt6,bill_amt6,numerical
Taiwan Credit Card Default,chi2,8,num__pay_amt1,pay_amt1,numerical
Taiwan Credit Card Default,chi2,9,num__pay_amt2,pay_amt2,numerical
Taiwan Credit Card Default,chi2,10,num__pay_amt3,pay_amt3,numerical
Taiwan Credit Card Default,chi2,11,num__pay_amt4,pay_amt4,numerical
Taiwan Credit Card Default,chi2,12,num__pay_amt5,pay_amt5,numerical
Taiwan Credit Card Default,chi2,13,num__pay_amt6,pay_amt6,numerical
Taiwan Credit Card Default,chi2,14,ord__pay_0,pay_0,ordinal
Taiwan Credit Card Default,chi2,15,ord__pay_2,pay_2,ordinal
Taiwan Credit Card Default,chi2,16,ord__pay_3,pay_3,ordinal
Taiwan Credit Card Default,chi2,17,ord__pay_4,pay_4,ordinal
Taiwan Credit Card Default,chi2,18,ord__pay_5,pay_5,ordinal
Taiwan Credit Card Default,chi2,19,ord__pay_6,pay_6,ordinal
Taiwan Credit Card Default,chi2,20,cat__sex_female,sex,categorical
Taiwan Credit Card Default,chi2,21,cat__sex_male,sex,categorical
Taiwan Credit Card Default,chi2,22,cat__education_graduate_school,education,categorical
Taiwan Credit Card Default,chi2,23,cat__education_high_school,education,categorical
Taiwan Credit Card Default,chi2,24,cat__education_other_or_unknown,education,categorical
Taiwan Credit Card Default,chi2,25,cat__education_university,education,categorical
Taiwan Credit Card Default,chi2,26,cat__marriage_married,marriage,categorical
Taiwan Credit Card Default,chi2,27,cat__marriage_other_or_unknown,marriage,categorical
Taiwan Credit Card Default,chi2,28,cat__marriage_single,marriage,categorical
